"","g_model2"
"1",51.3696511356078
"2",52.9696693405154
"3",132.561450669387
"4",-91.284862078359
"5",43.6426023386408
"6",131.628422048963
"7",176.091588144635
"8",64.0318168054893
"9",97.6506079924422
"10",99.4299713376254
"11",76.4022610214984
"12",102.957580944343
"13",273.536958245256
"14",261.24314109543
"15",116.92085343477
"16",84.2635983160528
"17",122.141132101395
"18",85.5975633758042
"19",102.355846188667
"20",43.6426023386408
"21",176.006608760449
"22",-8.95354318201941
"23",155.869901963352
"24",105.405634670727
"25",191.231450557246
"26",156.987443349541
"27",114.613479920116
"28",50.3740253515948
"29",147.308789374341
"30",90.5421320876395
"31",127.617446375662
"32",96.8547585689323
"33",-24.7276976374215
"34",102.005184106319
"35",157.149084969039
"36",58.0116563128868
"37",57.3651358227983
"38",211.643095758849
"39",109.847663998565
"40",81.4442479938697
"41",-1.1510539662025
"42",103.616342931759
"43",125.149145858963
"44",199.774055346301
"45",91.0959034731662
"46",72.6207707922201
"47",113.917190977721
"48",179.391896267832
"49",95.5039721051871
"50",-29.4816875870661
"51",61.7058710474581
"52",38.248489638618
"53",-12.7668133834253
"54",156.976296387234
"55",119.428945993684
"56",136.497962945635
"57",8.11104044769885
"58",69.0814316632899
"59",104.65493204421
"60",126.74147318309
"61",13.0244540735785
"62",69.9885498630247
"63",130.369395527225
"64",28.4936991301497
"65",164.492455580593
"66",212.714420423259
"67",101.742313438063
"68",12.883490305022
"69",-17.4890491054528
"70",49.1311709507351
"71",50.1623837787073
"72",176.786272730419
"73",237.734233772065
"74",76.4022610214984
"75",57.0309153533704
"76",76.4022610214984
"77",-16.8306673721149
"78",44.5228974355209
"79",95.1379500564697
"80",-82.0688341604577
"81",44.5823394355831
"82",151.366030028368
"83",43.9656350297066
"84",131.628422048963
"85",111.20683490736
"86",162.451004006458
"87",97.6506079924422
"88",55.6819308701981
"89",128.709803891402
"90",18.0320079168736
"91",52.3155209649978
"92",177.071576166575
"93",133.49447928981
"94",152.955900434395
"95",84.2800584722096
"96",2.9291862287994
"97",73.8812675353129
"98",59.1306582787647
"99",212.197182081554
"100",-2.7260016240835
"101",-62.163811921818
"102",29.3739942270297
"103",105.422086303038
"104",-13.7202391019444
"105",199.793153225379
"106",33.2878515904127
"107",104.65493204421
"108",114.434985499924
"109",200.679222444286
"110",82.3599101106231
"111",153.240887845731
"112",60.9044749517288
"113",39.2441154226311
"114",17.6559401623455
"115",67.5698159487564
"116",72.1360323175147
"117",175.057111461222
"118",-39.1959441707109
"119",53.9694208887938
"120",119.428945993684
"121",82.7047447369621
"122",110.287862921886
"123",-0.357122468022256
"124",215.819084856897
"125",153.416970487345
"126",70.0997773060349
"127",155.498667953277
"128",178.004604786997
"129",-17.0485900461144
"130",-25.2796445211192
"131",96.038937356411
"132",27.3076145548614
"133",28.2765809164403
"134",-1.89262719478702
"135",137.418151796182
"136",137.418151796182
"137",112.844810623146
"138",203.525267707072
"139",5.07612491543884
"140",8.23919759355013
"141",116.064794569997
"142",178.842975052029
"143",79.0635542053434
"144",70.9884488964706
"145",105.99584164073
"146",66.8998931268403
"147",139.168974022245
"148",29.3739942270297
"149",35.6157490944153
"150",-21.115031356554
"151",83.3117542133382
"152",127.294682195892
"153",175.744023315452
"154",114.936244099885
"155",129.172008195648
"156",163.450206165627
"157",-42.0500752172746
"158",66.3182870767563
"159",91.6507739972256
"160",115.420390369539
"161",47.3320449349067
"162",69.9885498630247
"163",77.6627577645911
"164",124.73675674252
"165",286.625580514813
"166",46.8893351075473
"167",175.744023315452
"168",67.2069586671925
"169",83.0765698896192
"170",8.23929824597574
"171",102.86358836255
"172",-42.0500752172746
"173",120.925864595114
"174",77.6627577645911
"175",21.7441141580671
"176",16.5517485197314
"177",126.74147318309
"178",101.742313438063
"179",224.38078752503
"180",44.180385742433
"181",165.013580288075
"182",135.415999615322
"183",165.534704995557
"184",92.0206876799307
"185",102.900570183647
"186",145.788296439636
"187",12.883490305022
"188",53.9694208887938
"189",70.1676922187734
"190",179.913020975314
"191",128.101592645316
"192",20.8125841348477
"193",141.123153337519
"194",171.092681613087
"195",191.164588710174
"196",83.4216542159784
"197",186.260579164036
"198",47.9276823681448
"199",151.204647938484
"200",118.18485387937
"201",105.405634670727
"202",123.218943609199
"203",238.540661915704
"204",80.1837512507761
"205",50.1623837787073
"206",151.677513723284
"207",97.7131628251632
"208",66.0177528837009
"209",-51.2473438495579
"210",47.2659061071969
"211",187.350928611048
"212",67.3018468199901
"213",151.5509132465
"214",104.65493204421
"215",33.7754697114304
"216",32.846131418264
"217",47.3320449349067
"218",80.9321439565499
"219",45.5827011545964
"220",92.0206876799307
"221",-18.6977098558196
"222",66.3182870767563
"223",33.1406115330301
"224",200.698506754518
"225",46.6671856250519
"226",54.2301660836081
"227",156.976296387234
"228",112.004671434348
"229",76.4022610214984
"230",22.1477468904601
"231",94.4009616406239
"232",-21.115031356554
"233",183.024616099451
"234",51.7091725974231
"235",62.4147506805992
"236",200.679222444286
"237",4.42803335958015
"238",43.7743669862094
"239",160.838711209502
"240",21.7441141580671
"241",176.091588144635
"242",144.855267819213
"243",134.033078220768
"244",152.955900434395
"245",180.434145682796
"246",35.9698857902541
"247",46.8893351075473
"248",82.8358321619802
"249",163.97133087311
"250",-62.0422258003905
"251",114.129333650462
"252",130.922592739165
"253",11.8281651166777
"254",172.730657328875
"255",33.8664053141049
"256",-53.6713520515327
"257",143.922239198789
"258",104.65493204421
"259",64.6859651810067
"260",56.0760776921699
"261",212.843730008686
"262",61.793146542164
"263",48.9491110597968
"264",139.007591932361
"265",188.432364695977
"266",114.434985499924
"267",44.0464011780498
"268",175.445040217502
"269",79.3641474784654
"270",118.578098724666
"271",5.77618968606057
"272",25.5237396383528
"273",68.1057542062891
"274",-27.890870967958
"275",261.843807759454
"276",42.282430077106
"277",75.1389754004113
"278",102.255041824108
"279",94.1972282968726
"280",285.744530204875
"281",114.77486201
"282",53.5097349658501
"283",-2.74970038182334
"284",-60.5572801586239
"285",72.6338452095212
"286",-21.9327734014529
"287",-22.7694911813688
"288",127.898376263752
"289",-34.2541374443893
"290",153.240887845731
"291",150.525365421836
"292",79.4309966815668
"293",214.188848887378
"294",103.384716453301
"295",203.525267707072
"296",142.279221821301
"297",212.326491666979
"298",17.7462714060597
"299",57.2989969950878
"300",77.7141881691052
"301",97.6506079924422
"302",176.138547546151
"303",59.0148708205244
"304",150.728096332425
"305",90.9109466318131
"306",94.2795458002389
"307",-15.2769667231755
"308",188.432364695977
"309",237.734233772065
"310",79.4309966815668
"311",91.2808603145192
"312",224.361689645953
"313",213.019998995629
"314",37.2528638546043
"315",99.3148887879864
"316",80.1837512507761
"317",-5.99127179425468
"318",72.3892597279931
"319",210.3032857024
"320",164.492455580593
"321",191.164588710174
"322",22.1477468904601
"323",-35.6373215669773
"324",124.596070935517
"325",163.844730396325
"326",150.881883758714
"327",51.7491447720899
"328",67.4289897040419
"329",9.61141649618919
"330",107.930883475784
"331",6.59719232189018
"332",87.5022518845594
"333",113.917190977721
"334",79.3319134592474
"335",156.423099175293
"336",167.576844878018
"337",103.937400515986
"338",59.0483407753982
"339",92.5627372877772
"340",101.378980612636
"341",74.0649076933799
"342",102.628840025994
"343",53.5097349658501
"344",91.0959034731662
"345",62.4995610645717
"346",-51.2473438495579
"347",91.9000470912676
"348",-4.4687747992078
"349",102.416423913993
"350",200.54991285886
"351",-30.780556794825
"352",98.574355959389
"353",116.546878163583
"354",-40.4079482716977
"355",123.524897135594
"356",98.574355959389
"357",114.299959037515
"358",67.0338776912238
"359",139.848686808743
"360",9.43558720287613
"361",109.429458665655
"362",224.033982136529
"363",37.2528638546043
"364",97.0974107805014
"365",-48.3844273953007
"366",201.373907030071
"367",134.45089849044
"368",25.7555874302544
"369",32.1227230390285
"370",15.0185433647121
"371",-6.56096526821893
"372",141.968746118117
"373",84.1954052019236
"374",-12.7668133834253
"375",199.903364931728
"376",79.1145225511809
"377",225.137547158512
"378",140.947070695905
"379",91.0959034731662
"380",157.149084969039
"381",78.6616005121938
"382",54.2301660836081
"383",73.5094423826553
"384",81.7048457035162
"385",70.9884488964706
"386",-21.115031356554
"387",16.065123543238
"388",112.95208985284
"389",261.501760266283
"390",43.9124166136662
"391",56.0760776921699
"392",239.297607894512
"393",115.09762618977
"394",99.7410048968478
"395",103.061952273531
"396",97.0974107805014
"397",140.460030741324
